sample_id,image_name,sleeve_present,collar_present,button_present,zipper_present
1,167622.jpg,1,0,0,0
2,029185.jpg,1,0,0,0
3,006557.jpg,0,0,0,0
4,072098.jpg,1,0,0,0
5,064197.jpg,0,0,,0
6,058514.jpg,1,0,0,0
7,036580.jpg,1,1,,0
8,026869.jpg,1,0,0,0
9,177393.jpg,0,0,1,0
10,142965.jpg,1,0,0,0
11,022791.jpg,1,0,0,0
12,154795.jpg,1,0,0,0
13,110605.jpg,1,0,0,0
14,008332.jpg,1,0,0,0
15,007812.jpg,1,0,0,0
16,024562.jpg,1,0,0,0
17,057315.jpg,1,0,0,0
18,060991.jpg,,0,0,0
19,132476.jpg,1,0,0,0
20,157816.jpg,1,0,0,0
21,006957.jpg,1,0,0,0
22,147128.jpg,0,0,1,0
23,052125.jpg,1,0,0,0
24,187701.jpg,1,0,0,0
25,170364.jpg,1,0,0,0
26,183849.jpg,1,0,0,0
27,142854.jpg,0,0,1,0
28,109975.jpg,0,0,1,0
29,057788.jpg,1,0,0,0
30,117758.jpg,0,0,0,0
31,154473.jpg,1,0,0,0
32,072927.jpg,,0,0,0
33,001704.jpg,0,0,0,0
34,041854.jpg,1,0,0,0
35,183014.jpg,1,0,0,0
36,110786.jpg,1,0,0,0
37,089195.jpg,1,0,0,0
38,072843.jpg,,0,0,0
39,040759.jpg,1,0,0,0
40,056444.jpg,1,0,0,0
41,088237.jpg,1,0,0,0
42,026794.jpg,0,0,0,1
43,024313.jpg,0,0,1,0
44,099596.jpg,1,0,0,0
45,025354.jpg,1,0,0,0
46,094105.jpg,0,0,0,0
47,090166.jpg,1,0,0,0
48,158264.jpg,1,,0,0
49,069343.jpg,1,1,0,0
50,011391.jpg,1,0,0,0
51,191295.jpg,1,0,0,0
52,120436.jpg,,0,0,0
53,140569.jpg,1,0,0,0
54,032723.jpg,1,0,0,0
55,099231.jpg,1,0,0,0
56,020657.jpg,1,1,0,0
57,144715.jpg,1,,0,0
58,076855.jpg,0,0,0,0
59,164795.jpg,0,0,1,0
60,162142.jpg,1,0,0,0
61,094801.jpg,0,0,0,0
62,151350.jpg,1,0,0,0
63,050408.jpg,0,0,0,0
64,184700.jpg,1,,0,0
65,018234.jpg,1,0,0,0
66,012013.jpg,0,0,0,0
67,173347.jpg,1,0,0,0
68,059743.jpg,0,0,0,0
69,075862.jpg,0,0,0,0
70,020917.jpg,1,1,0,0
71,061025.jpg,1,0,0,0
72,026477.jpg,1,0,0,0
73,099648.jpg,1,0,0,0
74,072870.jpg,1,0,0,0
75,118859.jpg,1,0,0,0
76,166641.jpg,1,0,0,0
77,095639.jpg,0,0,0,0
78,042639.jpg,0,0,0,0
79,097041.jpg,0,0,0,0
80,093133.jpg,1,0,0,0
81,054922.jpg,1,0,0,0
82,175683.jpg,,0,0,0
83,069987.jpg,0,0,0,0
84,183978.jpg,1,1,1,0
85,179188.jpg,,0,0,0
86,169879.jpg,1,1,0,0
87,018718.jpg,0,0,0,0
88,159681.jpg,1,0,0,0
89,166456.jpg,1,0,0,0
90,044863.jpg,0,0,0,0
91,140022.jpg,1,0,0,0
92,191137.jpg,1,0,0,0
93,064176.jpg,1,0,0,0
94,042835.jpg,1,0,0,0
95,121179.jpg,1,0,0,0
96,099472.jpg,1,0,0,0
97,070766.jpg,1,0,0,0
98,167773.jpg,1,0,0,0
99,180398.jpg,0,0,0,0
100,146002.jpg,1,0,0,0
