candidate_id,target,sampling_priority,image_name,item_id,category_name,bbox_area_ratio,crop_path,target_present,visibility,usable_for_evaluation,notes
1,button,1,130638.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\001_130638_item1.jpg,,,,
2,button,1,100023.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\002_100023_item1.jpg,,,,
3,button,1,032220.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\003_032220_item1.jpg,,,,
4,button,1,097594.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\004_097594_item1.jpg,,,,
5,button,1,128107.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\005_128107_item1.jpg,,,,
6,button,1,177450.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\006_177450_item1.jpg,,,,
7,button,1,066701.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\button\crops\007_066701_item1.jpg,,,,
8,button,1,054710.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\008_054710_item1.jpg,,,,
9,button,1,013453.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\009_013453_item1.jpg,,,,
10,button,1,091865.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\button\crops\010_091865_item1.jpg,,,,
11,button,1,141595.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\011_141595_item1.jpg,,,,
12,button,1,105965.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\button\crops\012_105965_item1.jpg,,,,
13,button,1,033730.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\013_033730_item1.jpg,,,,
14,button,1,012542.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\014_012542_item1.jpg,,,,
15,button,1,051640.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\button\crops\015_051640_item1.jpg,,,,
16,button,1,178720.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\016_178720_item1.jpg,,,,
17,button,1,054074.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\button\crops\017_054074_item1.jpg,,,,
