candidate_id,target,sampling_priority,image_name,item_id,category_name,bbox_area_ratio,crop_path,target_present,visibility,usable_for_evaluation,notes
1,collar,1,088509.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\001_088509_item1.jpg,,,,
2,collar,1,078677.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\002_078677_item1.jpg,,,,
3,collar,1,076191.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\003_076191_item1.jpg,,,,
4,collar,1,015595.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\004_015595_item1.jpg,,,,
5,collar,1,027571.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\005_027571_item1.jpg,,,,
6,collar,1,044265.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\006_044265_item1.jpg,,,,
7,collar,1,027786.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\007_027786_item1.jpg,,,,
8,collar,1,032686.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\008_032686_item1.jpg,,,,
9,collar,1,001612.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\009_001612_item1.jpg,,,,
10,collar,1,145442.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\010_145442_item1.jpg,,,,
11,collar,1,082889.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\011_082889_item1.jpg,,,,
12,collar,1,070884.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\012_070884_item1.jpg,,,,
13,collar,1,021486.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\013_021486_item1.jpg,,,,
14,collar,1,181578.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\014_181578_item1.jpg,,,,
15,collar,1,005080.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\015_005080_item1.jpg,,,,
16,collar,1,051640.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\016_051640_item1.jpg,,,,
17,collar,1,087323.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\017_087323_item1.jpg,,,,
18,collar,1,113100.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\018_113100_item1.jpg,,,,
19,collar,1,156870.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\019_156870_item1.jpg,,,,
20,collar,1,133082.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\020_133082_item1.jpg,,,,
21,collar,1,141532.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\021_141532_item1.jpg,,,,
22,collar,1,071468.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\022_071468_item1.jpg,,,,
23,collar,1,104401.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\023_104401_item1.jpg,,,,
24,collar,1,109191.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\024_109191_item1.jpg,,,,
25,collar,1,168593.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\025_168593_item1.jpg,,,,
26,collar,1,027831.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\026_027831_item1.jpg,,,,
27,collar,1,178115.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\027_178115_item1.jpg,,,,
28,collar,1,025898.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\028_025898_item1.jpg,,,,
29,collar,1,082864.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\029_082864_item1.jpg,,,,
30,collar,1,170066.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\030_170066_item1.jpg,,,,
31,collar,1,034543.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\031_034543_item1.jpg,,,,
32,collar,1,150951.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\032_150951_item1.jpg,,,,
33,collar,1,043744.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\033_043744_item1.jpg,,,,
34,collar,1,119280.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\034_119280_item1.jpg,,,,
35,collar,1,033730.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\035_033730_item1.jpg,,,,
36,collar,1,127679.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\036_127679_item1.jpg,,,,
37,collar,1,055673.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\037_055673_item1.jpg,,,,
38,collar,1,118608.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\038_118608_item1.jpg,,,,
39,collar,1,066559.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\039_066559_item1.jpg,,,,
40,collar,1,053073.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\040_053073_item1.jpg,,,,
41,collar,1,172132.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\041_172132_item1.jpg,,,,
42,collar,1,026314.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\042_026314_item1.jpg,,,,
43,collar,1,065280.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\043_065280_item1.jpg,,,,
44,collar,1,025977.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\044_025977_item1.jpg,,,,
45,collar,1,005237.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\045_005237_item1.jpg,,,,
46,collar,1,071469.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\046_071469_item1.jpg,,,,
47,collar,1,123303.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\047_123303_item1.jpg,,,,
48,collar,1,125307.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\048_125307_item1.jpg,,,,
49,collar,1,070998.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\049_070998_item1.jpg,,,,
50,collar,1,058348.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\050_058348_item1.jpg,,,,
51,collar,1,093116.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\051_093116_item1.jpg,,,,
52,collar,1,157619.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\052_157619_item1.jpg,,,,
53,collar,1,080530.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\053_080530_item1.jpg,,,,
54,collar,1,152404.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\054_152404_item1.jpg,,,,
55,collar,1,139553.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\055_139553_item1.jpg,,,,
56,collar,1,189610.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\056_189610_item1.jpg,,,,
57,collar,1,180200.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\057_180200_item1.jpg,,,,
58,collar,1,076990.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\058_076990_item1.jpg,,,,
59,collar,1,073418.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\059_073418_item1.jpg,,,,
60,collar,1,115894.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\060_115894_item1.jpg,,,,
61,collar,1,102653.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\061_102653_item1.jpg,,,,
62,collar,1,130638.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\062_130638_item1.jpg,,,,
63,collar,1,020007.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\063_020007_item1.jpg,,,,
64,collar,1,087587.jpg,item1,short sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\064_087587_item1.jpg,,,,
65,collar,1,089994.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\065_089994_item1.jpg,,,,
66,collar,1,140980.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\066_140980_item1.jpg,,,,
67,collar,1,066701.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\067_066701_item1.jpg,,,,
68,collar,1,095773.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\068_095773_item1.jpg,,,,
69,collar,1,019901.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\069_019901_item1.jpg,,,,
70,collar,1,058957.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\070_058957_item1.jpg,,,,
71,collar,1,168666.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\071_168666_item1.jpg,,,,
72,collar,1,179462.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\072_179462_item1.jpg,,,,
73,collar,1,080135.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\073_080135_item1.jpg,,,,
74,collar,1,189367.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\074_189367_item1.jpg,,,,
75,collar,1,139996.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\075_139996_item1.jpg,,,,
76,collar,1,105891.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\collar\crops\076_105891_item1.jpg,,,,
77,collar,1,013956.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\077_013956_item1.jpg,,,,
78,collar,1,042866.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\078_042866_item1.jpg,,,,
79,collar,1,011810.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\079_011810_item1.jpg,,,,
80,collar,1,147261.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\collar\crops\080_147261_item1.jpg,,,,
