candidate_id,target,sampling_priority,image_name,item_id,category_name,bbox_area_ratio,crop_path,target_present,visibility,usable_for_evaluation,notes
1,sleeve,1,013714.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\001_013714_item1.jpg,,,,
2,sleeve,1,023309.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\002_023309_item1.jpg,,,,
3,sleeve,1,017524.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\003_017524_item1.jpg,,,,
4,sleeve,1,180957.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\004_180957_item1.jpg,,,,
5,sleeve,1,018629.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\005_018629_item1.jpg,,,,
6,sleeve,1,029477.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\006_029477_item1.jpg,,,,
7,sleeve,1,041743.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\007_041743_item1.jpg,,,,
8,sleeve,1,028725.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\008_028725_item1.jpg,,,,
9,sleeve,1,046343.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\009_046343_item1.jpg,,,,
10,sleeve,1,119509.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\010_119509_item1.jpg,,,,
11,sleeve,1,030741.jpg,item1,short sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\011_030741_item1.jpg,,,,
12,sleeve,1,182793.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\012_182793_item1.jpg,,,,
13,sleeve,1,140339.jpg,item1,short sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\013_140339_item1.jpg,,,,
14,sleeve,1,151051.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\014_151051_item1.jpg,,,,
15,sleeve,1,100867.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\015_100867_item1.jpg,,,,
16,sleeve,1,067370.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\016_067370_item1.jpg,,,,
17,sleeve,1,116985.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\017_116985_item1.jpg,,,,
18,sleeve,1,061410.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\018_061410_item1.jpg,,,,
19,sleeve,1,114181.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\019_114181_item1.jpg,,,,
20,sleeve,1,119516.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\020_119516_item1.jpg,,,,
21,sleeve,1,007215.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\021_007215_item1.jpg,,,,
22,sleeve,1,177713.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\022_177713_item1.jpg,,,,
23,sleeve,1,108953.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\023_108953_item1.jpg,,,,
24,sleeve,1,094422.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\024_094422_item1.jpg,,,,
25,sleeve,1,158351.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\025_158351_item1.jpg,,,,
26,sleeve,1,102651.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\026_102651_item1.jpg,,,,
27,sleeve,1,027786.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\027_027786_item1.jpg,,,,
28,sleeve,1,094749.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\028_094749_item1.jpg,,,,
29,sleeve,1,021486.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\029_021486_item1.jpg,,,,
30,sleeve,1,076190.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\030_076190_item1.jpg,,,,
31,sleeve,1,027831.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\031_027831_item1.jpg,,,,
32,sleeve,1,137460.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\032_137460_item1.jpg,,,,
33,sleeve,1,151160.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\033_151160_item1.jpg,,,,
34,sleeve,1,082097.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\034_082097_item1.jpg,,,,
35,sleeve,1,129567.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\035_129567_item1.jpg,,,,
36,sleeve,1,017784.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\036_017784_item1.jpg,,,,
37,sleeve,1,153420.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\037_153420_item1.jpg,,,,
38,sleeve,1,017518.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\038_017518_item1.jpg,,,,
39,sleeve,1,131182.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\039_131182_item1.jpg,,,,
40,sleeve,1,133110.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\040_133110_item1.jpg,,,,
