candidate_id,target,sampling_priority,image_name,item_id,category_name,bbox_area_ratio,crop_path,target_present,visibility,usable_for_evaluation,notes
1,zipper,1,143192.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\001_143192_item1.jpg,,,,
2,zipper,1,080427.jpg,item1,shorts,1.0,outputs\target_balanced_candidates\zipper\crops\002_080427_item1.jpg,,,,
3,zipper,1,046725.jpg,item1,skirt,1.0,outputs\target_balanced_candidates\zipper\crops\003_046725_item1.jpg,,,,
4,zipper,1,105976.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\004_105976_item1.jpg,,,,
5,zipper,1,105321.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\005_105321_item1.jpg,,,,
6,zipper,1,044199.jpg,item1,trousers,1.0,outputs\target_balanced_candidates\zipper\crops\006_044199_item1.jpg,,,,
7,zipper,1,053519.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\007_053519_item1.jpg,,,,
8,zipper,1,191877.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\008_191877_item1.jpg,,,,
9,zipper,1,135347.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\009_135347_item1.jpg,,,,
10,zipper,1,039295.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\010_039295_item1.jpg,,,,
11,zipper,1,151724.jpg,item1,skirt,1.0,outputs\target_balanced_candidates\zipper\crops\011_151724_item1.jpg,,,,
12,zipper,1,103379.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\012_103379_item1.jpg,,,,
13,zipper,1,146805.jpg,item1,trousers,1.0,outputs\target_balanced_candidates\zipper\crops\013_146805_item1.jpg,,,,
14,zipper,1,114243.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\014_114243_item1.jpg,,,,
15,zipper,1,152404.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\015_152404_item1.jpg,,,,
16,zipper,1,151435.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\016_151435_item1.jpg,,,,
17,zipper,1,059777.jpg,item1,trousers,1.0,outputs\target_balanced_candidates\zipper\crops\017_059777_item1.jpg,,,,
18,zipper,1,160593.jpg,item1,trousers,1.0,outputs\target_balanced_candidates\zipper\crops\018_160593_item1.jpg,,,,
19,zipper,1,145556.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\019_145556_item1.jpg,,,,
20,zipper,1,112987.jpg,item1,shorts,1.0,outputs\target_balanced_candidates\zipper\crops\020_112987_item1.jpg,,,,
21,zipper,1,127801.jpg,item1,shorts,1.0,outputs\target_balanced_candidates\zipper\crops\021_127801_item1.jpg,,,,
22,zipper,1,033696.jpg,item1,trousers,1.0,outputs\target_balanced_candidates\zipper\crops\022_033696_item1.jpg,,,,
23,zipper,1,030046.jpg,item1,shorts,1.0,outputs\target_balanced_candidates\zipper\crops\023_030046_item1.jpg,,,,
24,zipper,1,110544.jpg,item1,trousers,1.0,outputs\target_balanced_candidates\zipper\crops\024_110544_item1.jpg,,,,
25,zipper,1,039496.jpg,item1,skirt,1.0,outputs\target_balanced_candidates\zipper\crops\025_039496_item1.jpg,,,,
26,zipper,1,078947.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\026_078947_item1.jpg,,,,
27,zipper,1,058957.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\zipper\crops\027_058957_item1.jpg,,,,
