target,condition,n,detected_count,detection_rate,mean_top_box_area_ratio_detected,mean_inference_seconds
button,full_image,22,4,0.18181818181818182,0.9999802936625117,0.1236761529792354
button,local_enlarged,22,2,0.09090909090909091,0.18861197719377826,0.2400819692728956
button,roi_conditioned,22,4,0.18181818181818182,0.9999802936625117,0.1243355964119969
collar,full_image,22,15,0.6818181818181818,0.9354091723214605,0.12063559532610019
collar,local_enlarged,22,10,0.45454545454545453,0.1962496715612943,0.12000346697591749
collar,roi_conditioned,22,15,0.6818181818181818,0.9354091723214605,0.11899143055250695
sleeve,full_image,22,9,0.4090909090909091,0.9884906616649756,0.16081437337296928
sleeve,local_enlarged,22,8,0.36363636363636365,0.2592187866254995,0.21692409673282365
sleeve,roi_conditioned,22,9,0.4090909090909091,0.9884906616649756,0.12400345886337821
zipper,full_image,22,1,0.045454545454545456,0.9999963794000504,0.11857578015505248
zipper,local_enlarged,22,2,0.09090909090909091,0.2042937571251826,0.2335495543137023
zipper,roi_conditioned,22,1,0.045454545454545456,0.9999963794000504,0.11785877714018249
