benchmark_id,target,scale_group,image_name,item_id,category_name,visibility,full_detected,full_top_score,roi_detected,roi_top_score,local_detected,local_top_score,full_localization_quality,roi_localization_quality,local_localization_quality,full_notes,roi_notes,local_notes,assistant_review_confidence,assistant_review_note
sleeve_001,sleeve,larger_part,017524.jpg,item1,short sleeve dress,clear,yes,0.3287922441959381,yes,0.3287922441959381,yes,0.3045786917209625,coarse,coarse,coarse,,,,high,
sleeve_002,sleeve,larger_part,018629.jpg,item1,short sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_003,sleeve,larger_part,028725.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_004,sleeve,larger_part,030741.jpg,item1,short sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_005,sleeve,larger_part,182793.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_006,sleeve,larger_part,151051.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_007,sleeve,larger_part,067370.jpg,item1,short sleeve top,clear,yes,0.4322286546230316,yes,0.4322286546230316,yes,0.3634344041347503,coarse,coarse,coarse,,,,high,
sleeve_008,sleeve,larger_part,116985.jpg,item1,long sleeve outwear,clear,yes,0.4024281203746795,yes,0.4024281203746795,no,,coarse,coarse,missed,,,,,
sleeve_009,sleeve,larger_part,061410.jpg,item1,short sleeve top,clear,yes,0.4234826266765594,yes,0.4234826266765594,yes,0.323066383600235,coarse,coarse,correct,,,,medium,
sleeve_010,sleeve,larger_part,114181.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_011,sleeve,larger_part,119516.jpg,item1,short sleeve top,clear,yes,0.3178072571754455,yes,0.3178072571754455,no,,coarse,coarse,missed,,,,,
sleeve_012,sleeve,larger_part,177713.jpg,item1,short sleeve top,clear,yes,0.3863638043403625,yes,0.3863638043403625,yes,0.3309347033500671,coarse,coarse,coarse,,,,high,
sleeve_013,sleeve,larger_part,102651.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_014,sleeve,larger_part,027786.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_015,sleeve,larger_part,027831.jpg,item1,short sleeve top,clear,no,,no,,yes,0.3308514058589935,missed,missed,coarse,,,,medium,
sleeve_016,sleeve,larger_part,129567.jpg,item1,long sleeve top,clear,yes,0.379863291978836,yes,0.379863291978836,no,,coarse,coarse,missed,,,,,
sleeve_017,sleeve,larger_part,153420.jpg,item1,long sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_018,sleeve,larger_part,017518.jpg,item1,long sleeve outwear,clear,yes,0.3947386443614959,yes,0.3947386443614959,yes,0.3905131220817566,coarse,coarse,correct,,,,medium,
sleeve_019,sleeve,larger_part,133110.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_020,sleeve,larger_part,154526.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
sleeve_021,sleeve,larger_part,123488.jpg,item1,long sleeve dress,clear,yes,0.4440442025661468,yes,0.4440442025661468,yes,0.3696601688861847,coarse,coarse,coarse,,,,high,
sleeve_022,sleeve,larger_part,045056.jpg,item1,long sleeve dress,clear,no,,no,,yes,0.3245234191417694,missed,missed,coarse,,,,medium,
collar_001,collar,larger_part,032686.jpg,item1,long sleeve top,clear,yes,0.4058949649333954,yes,0.4058949649333954,no,,coarse,coarse,missed,,,,,
