target,scale_group,condition,n_cases,detected_count,detection_rate,mean_num_detections,mean_top_score_detected,median_top_score_detected,mean_top_box_area_ratio_detected,mean_inference_seconds
sleeve,larger_part,full_image,22,9,0.4091,0.4091,0.3900,0.3947,0.9885,0.1608
sleeve,larger_part,roi_conditioned,22,9,0.4091,0.4091,0.3900,0.3947,0.9885,0.1240
sleeve,larger_part,local_enlarged,22,8,0.3636,0.5455,0.3422,0.3309,0.2592,0.2169
collar,larger_part,full_image,22,15,0.6818,0.6818,0.3819,0.3914,0.9354,0.1206
collar,larger_part,roi_conditioned,22,15,0.6818,0.6818,0.3819,0.3914,0.9354,0.1190
collar,larger_part,local_enlarged,22,10,0.4545,0.4545,0.3297,0.3126,0.1962,0.1200
button,small_object,full_image,22,4,0.1818,0.1818,0.3207,0.3215,1.0000,0.1237
button,small_object,roi_conditioned,22,4,0.1818,0.1818,0.3207,0.3215,1.0000,0.1243
button,small_object,local_enlarged,22,2,0.0909,0.1364,0.3165,0.3165,0.1886,0.2401
zipper,small_object,full_image,22,1,0.0455,0.0455,0.3025,0.3025,1.0000,0.1186
zipper,small_object,roi_conditioned,22,1,0.0455,0.0455,0.3025,0.3025,1.0000,0.1179
zipper,small_object,local_enlarged,22,2,0.0909,0.0909,0.3071,0.3071,0.2043,0.2335
