benchmark_id,target,scale_group,image_name,item_id,category_name,visibility,full_detected,full_top_score,roi_detected,roi_top_score,local_detected,local_top_score,full_localization_quality,roi_localization_quality,local_localization_quality,full_notes,roi_notes,local_notes
sleeve_001,sleeve,larger_part,017524.jpg,item1,short sleeve dress,clear,yes,0.3287922441959381,yes,0.3287922441959381,yes,0.3045786917209625,,,,,,
sleeve_002,sleeve,larger_part,018629.jpg,item1,short sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_003,sleeve,larger_part,028725.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_004,sleeve,larger_part,030741.jpg,item1,short sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_005,sleeve,larger_part,182793.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_006,sleeve,larger_part,151051.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_007,sleeve,larger_part,067370.jpg,item1,short sleeve top,clear,yes,0.4322286546230316,yes,0.4322286546230316,yes,0.36343440413475037,,,,,,
sleeve_008,sleeve,larger_part,116985.jpg,item1,long sleeve outwear,clear,yes,0.40242812037467957,yes,0.40242812037467957,no,,,,missed,,,
sleeve_009,sleeve,larger_part,061410.jpg,item1,short sleeve top,clear,yes,0.42348262667655945,yes,0.42348262667655945,yes,0.323066383600235,,,,,,
sleeve_010,sleeve,larger_part,114181.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_011,sleeve,larger_part,119516.jpg,item1,short sleeve top,clear,yes,0.31780725717544556,yes,0.31780725717544556,no,,,,missed,,,
sleeve_012,sleeve,larger_part,177713.jpg,item1,short sleeve top,clear,yes,0.38636380434036255,yes,0.38636380434036255,yes,0.33093470335006714,,,,,,
sleeve_013,sleeve,larger_part,102651.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_014,sleeve,larger_part,027786.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_015,sleeve,larger_part,027831.jpg,item1,short sleeve top,clear,no,,no,,yes,0.33085140585899353,missed,missed,,,,
sleeve_016,sleeve,larger_part,129567.jpg,item1,long sleeve top,clear,yes,0.37986329197883606,yes,0.37986329197883606,no,,,,missed,,,
sleeve_017,sleeve,larger_part,153420.jpg,item1,long sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_018,sleeve,larger_part,017518.jpg,item1,long sleeve outwear,clear,yes,0.39473864436149597,yes,0.39473864436149597,yes,0.3905131220817566,,,,,,
sleeve_019,sleeve,larger_part,133110.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_020,sleeve,larger_part,154526.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_021,sleeve,larger_part,123488.jpg,item1,long sleeve dress,clear,yes,0.44404420256614685,yes,0.44404420256614685,yes,0.3696601688861847,,,,,,
sleeve_022,sleeve,larger_part,045056.jpg,item1,long sleeve dress,clear,no,,no,,yes,0.3245234191417694,missed,missed,,,,
collar_001,collar,larger_part,032686.jpg,item1,long sleeve top,clear,yes,0.4058949649333954,yes,0.4058949649333954,no,,,,missed,,,
collar_002,collar,larger_part,145442.jpg,item1,long sleeve top,clear,no,,no,,yes,0.3096783459186554,missed,missed,,,,
collar_003,collar,larger_part,082889.jpg,item1,long sleeve outwear,clear,yes,0.39141008257865906,yes,0.39141008257865906,yes,0.3119315207004547,,,,,,
collar_004,collar,larger_part,087323.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
collar_005,collar,larger_part,141532.jpg,item1,long sleeve top,clear,yes,0.38903146982192993,yes,0.38903146982192993,yes,0.3013783395290375,,,,,,
collar_006,collar,larger_part,109191.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
collar_007,collar,larger_part,170066.jpg,item1,long sleeve top,clear,no,,no,,yes,0.313186913728714,missed,missed,,,,
