benchmark_id,target,scale_group,condition,image_name,item_id,category_name,visibility,prompt,threshold,roi_margin_ratio,roi_bbox,local_windows,local_enlarge_factor,detected,num_detections,top_score,mean_score,top_box_area_ratio,inference_seconds,detections_json
sleeve_001,sleeve,larger_part,full_image,017524.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],2.0,yes,1,0.3299792408943176,0.3299792408943176,0.9876748954031203,30.392438599985326,"[{""label"": ""sleeve"", ""score"": 0.3299792408943176, ""box"": [1.9312527179718018, 0.8973255157470703, 466.2971496582031, 622.0296630859375]}]"
sleeve_001,sleeve,larger_part,roi_conditioned,017524.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],2.0,yes,1,0.3299792408943176,0.3299792408943176,0.9876748954031203,28.67911369999638,"[{""label"": ""sleeve"", ""score"": 0.3299792408943176, ""box"": [1.9312527179718018, 0.8973255157470703, 466.2971496582031, 622.0296630859375]}]"
sleeve_001,sleeve,larger_part,local_enlarged,017524.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 0, 224, 511], [243, 0, 467, 511]]",2.0,no,0,,,,56.1369599000318,[]
sleeve_002,sleeve,larger_part,full_image,018629.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 623, 467]",[],2.0,no,0,,,,30.677214600000298,[]
sleeve_002,sleeve,larger_part,roi_conditioned,018629.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 623, 467]",[],2.0,no,0,,,,29.985628199996427,[]
sleeve_002,sleeve,larger_part,local_enlarged,018629.jpg,item1,short sleeve top,clear,sleeve,0.3,0.05,"[0, 0, 623, 467]","[[0, 0, 299, 383], [324, 0, 623, 383]]",2.0,no,0,,,,41.52205239998875,[]
sleeve_003,sleeve,larger_part,full_image,028725.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],2.0,no,0,,,,20.607139100000495,[]
sleeve_003,sleeve,larger_part,roi_conditioned,028725.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],2.0,no,0,,,,26.465892000007443,[]
sleeve_003,sleeve,larger_part,local_enlarged,028725.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]","[[0, 0, 224, 511], [243, 0, 467, 511]]",2.0,no,0,,,,52.92736329999752,[]
sleeve_004,sleeve,larger_part,full_image,030741.jpg,item1,short sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 350, 467]",[],2.0,no,0,,,,20.84829989998252,[]
sleeve_004,sleeve,larger_part,roi_conditioned,030741.jpg,item1,short sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 350, 467]",[],2.0,no,0,,,,20.422483800008195,[]
sleeve_004,sleeve,larger_part,local_enlarged,030741.jpg,item1,short sleeve outwear,clear,sleeve,0.3,0.05,"[0, 0, 350, 467]","[[0, 0, 167, 383], [183, 0, 350, 383]]",2.0,yes,2,0.32594504952430725,0.31316235661506653,0.29114936948010844,43.54272789999959,"[{""label"": ""sleeve"", ""score"": 0.32594504952430725, ""box"": [183.00179243087769, 98.68939208984375, 351.00177001953125, 383.3711242675781]}, {""label"": ""sleeve"", ""score"": 0.3003796637058258, ""box"": [19.150753021240234, 178.37115478515625, 167.96823120117188, 383.904296875]}]"
sleeve_005,sleeve,larger_part,full_image,182793.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],2.0,no,0,,,,25.666975100000855,[]
sleeve_005,sleeve,larger_part,roi_conditioned,182793.jpg,item1,short sleeve dress,clear,sleeve,0.3,0.05,"[0, 0, 467, 623]",[],2.0,no,0,,,,20.58990079999785,[]
