benchmark_id,target,scale_group,image_name,item_id,category_name,visibility,full_detected,full_top_score,roi_detected,roi_top_score,local_detected,local_top_score,full_localization_quality,roi_localization_quality,local_localization_quality,full_notes,roi_notes,local_notes
sleeve_001,sleeve,larger_part,017524.jpg,item1,short sleeve dress,clear,yes,0.3299792408943176,yes,0.3299792408943176,no,,,,missed,,,
sleeve_002,sleeve,larger_part,018629.jpg,item1,short sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_003,sleeve,larger_part,028725.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,
sleeve_004,sleeve,larger_part,030741.jpg,item1,short sleeve outwear,clear,no,,no,,yes,0.32594504952430725,missed,missed,,,,
sleeve_005,sleeve,larger_part,182793.jpg,item1,short sleeve dress,clear,no,,no,,no,,missed,missed,missed,,,
collar_001,collar,larger_part,032686.jpg,item1,long sleeve top,clear,yes,0.40590307116508484,yes,0.40590307116508484,no,,,,missed,,,
collar_002,collar,larger_part,145442.jpg,item1,long sleeve top,clear,no,,no,,yes,0.34032338857650757,missed,missed,,,,
collar_003,collar,larger_part,082889.jpg,item1,long sleeve outwear,clear,yes,0.3916805684566498,yes,0.3916805684566498,yes,0.3542456030845642,,,,,,
collar_004,collar,larger_part,087323.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
collar_005,collar,larger_part,141532.jpg,item1,long sleeve top,clear,yes,0.3873143196105957,yes,0.3873143196105957,yes,0.359012246131897,,,,,,
button_001,button,small_object,100023.jpg,item1,long sleeve top,clear,no,,no,,yes,0.3185216188430786,missed,missed,,,,
button_002,button,small_object,091865.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
button_003,button,small_object,105965.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
button_004,button,small_object,178720.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
button_005,button,small_object,054074.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,
zipper_001,zipper,small_object,191459.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
zipper_002,zipper,small_object,151528.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
zipper_003,zipper,small_object,176369.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
zipper_004,zipper,small_object,183837.jpg,item1,shorts,clear,no,,no,,no,,missed,missed,missed,,,
zipper_005,zipper,small_object,116992.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,
